#  airfoilCW                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   400000
#  Ncrit =   9.0000
#
#    x           cf
   0.53947E-03  0.11205E-02
   0.25354E-03  0.45061E-02
   0.76738E-04  0.74541E-02
   0.28454E-05  0.10810E-01
   0.28901E-04  0.12517E-01
   0.16031E-03  0.17985E-01
   0.40828E-03  0.18920E-01
   0.78719E-03  0.23854E-01
   0.13130E-02  0.24282E-01
   0.19945E-02  0.25652E-01
   0.28344E-02  0.28056E-01
   0.38362E-02  0.27497E-01
   0.50057E-02  0.25990E-01
   0.63525E-02  0.23589E-01
   0.78843E-02  0.17836E-01
   0.96067E-02  0.14410E-01
   0.11524E-01  0.10878E-01
   0.13634E-01  0.80434E-02
   0.15934E-01  0.72980E-02
   0.18441E-01  0.64775E-02
   0.21178E-01  0.57926E-02
   0.24169E-01  0.52591E-02
   0.27442E-01  0.55377E-02
   0.31034E-01  0.60765E-02
   0.34989E-01  0.64579E-02
   0.39349E-01  0.71229E-02
   0.44152E-01  0.76312E-02
   0.49429E-01  0.83381E-02
   0.55204E-01  0.85390E-02
   0.61490E-01  0.87443E-02
   0.68291E-01  0.87750E-02
   0.75590E-01  0.85941E-02
   0.83366E-01  0.83813E-02
   0.91583E-01  0.80665E-02
   0.10020      0.77556E-02
   0.10918      0.73708E-02
   0.11848      0.70107E-02
   0.12810      0.65772E-02
   0.13802      0.60292E-02
   0.14826      0.55025E-02
   0.15882      0.50053E-02
   0.16972      0.44279E-02
   0.18097      0.39929E-02
   0.19259      0.35813E-02
   0.20456      0.32230E-02
   0.21686      0.29884E-02
   0.22946      0.28042E-02
   0.24230      0.27050E-02
   0.25531      0.27023E-02
   0.26842      0.27092E-02
   0.28154      0.27846E-02
   0.29459      0.28206E-02
   0.30754      0.28336E-02
   0.32040      0.27324E-02
   0.33319      0.25542E-02
   0.34597      0.22748E-02
   0.35881      0.19177E-02
   0.37178      0.15155E-02
   0.38493      0.11157E-02
   0.39827      0.73507E-03
   0.41183      0.40436E-03
   0.42561      0.14744E-03
   0.43959     -0.35547E-04
   0.45374     -0.15290E-03
   0.46802     -0.21657E-03
   0.48240     -0.24860E-03
   0.49683     -0.26174E-03
   0.51127     -0.26399E-03
   0.52568     -0.25980E-03
   0.54005     -0.24975E-03
   0.55436     -0.23100E-03
   0.56862     -0.19196E-03
   0.58283     -0.96703E-04
   0.59701      0.65582E-03
   0.61116      0.17437E-02
   0.62528      0.30088E-02
   0.63938      0.41181E-02
   0.65347      0.48645E-02
   0.66757      0.52990E-02
   0.68169      0.55089E-02
   0.69587      0.55506E-02
   0.71015      0.54923E-02
   0.72456      0.53592E-02
   0.73911      0.51880E-02
   0.75381      0.49909E-02
   0.76867      0.47842E-02
   0.78368      0.45740E-02
   0.79880      0.43712E-02
   0.81397      0.41770E-02
   0.82914      0.39958E-02
   0.84428      0.38275E-02
   0.85934      0.36732E-02
   0.87432      0.35297E-02
   0.88918      0.33945E-02
   0.90387      0.32653E-02
   0.91823      0.31349E-02
   0.93204      0.29943E-02
   0.94510      0.28429E-02
   0.95724      0.26753E-02
   0.96834      0.24894E-02
   0.97836      0.22911E-02
   0.98730      0.20905E-02
   0.99523      0.18783E-02
    1.0000      0.18420E-02
    1.0001       0.0000    
    1.0048       0.0000    
    1.0101       0.0000    
    1.0163       0.0000    
    1.0233       0.0000    
    1.0312       0.0000    
