#  airfoilCW                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   400000
#  Ncrit =   9.0000
#
#    x           dT
   0.53947E-03  0.13486E-03
   0.25354E-03  0.12819E-03
   0.76738E-04  0.13154E-03
   0.28454E-05  0.13051E-03
   0.28901E-04  0.13800E-03
   0.16031E-03  0.12751E-03
   0.40828E-03  0.13422E-03
   0.78719E-03  0.12998E-03
   0.13130E-02  0.13723E-03
   0.19945E-02  0.14306E-03
   0.28344E-02  0.14525E-03
   0.38362E-02  0.15415E-03
   0.50057E-02  0.16657E-03
   0.63525E-02  0.18310E-03
   0.78843E-02  0.21666E-03
   0.96067E-02  0.24995E-03
   0.11524E-01  0.29330E-03
   0.13634E-01  0.34372E-03
   0.15934E-01  0.37783E-03
   0.18441E-01  0.41503E-03
   0.21178E-01  0.45288E-03
   0.24169E-01  0.49046E-03
   0.27442E-01  0.50803E-03
   0.31034E-01  0.51559E-03
   0.34989E-01  0.52438E-03
   0.39349E-01  0.52291E-03
   0.44152E-01  0.52338E-03
   0.49429E-01  0.51692E-03
   0.55204E-01  0.52210E-03
   0.61490E-01  0.52671E-03
   0.68291E-01  0.53553E-03
   0.75590E-01  0.55024E-03
   0.83366E-01  0.56675E-03
   0.91583E-01  0.58730E-03
   0.10020      0.60916E-03
   0.10918      0.63497E-03
   0.11848      0.66176E-03
   0.12810      0.69337E-03
   0.13802      0.73295E-03
   0.14826      0.77599E-03
   0.15882      0.82229E-03
   0.16972      0.87926E-03
   0.18097      0.93359E-03
   0.19259      0.99210E-03
   0.20456      0.10521E-02
   0.21686      0.11048E-02
   0.22946      0.11549E-02
   0.24230      0.11964E-02
   0.25531      0.12250E-02
   0.26842      0.12506E-02
   0.28154      0.12646E-02
   0.29459      0.12819E-02
   0.30754      0.13007E-02
   0.32040      0.13359E-02
   0.33319      0.13846E-02
   0.34597      0.14553E-02
   0.35881      0.15511E-02
   0.37178      0.16742E-02
   0.38493      0.18226E-02
   0.39827      0.20006E-02
   0.41183      0.22056E-02
   0.42561      0.24286E-02
   0.43959      0.26631E-02
   0.45374      0.28994E-02
   0.46802      0.31176E-02
   0.48240      0.33139E-02
   0.49683      0.34781E-02
   0.51127      0.36024E-02
   0.52568      0.36842E-02
   0.54005      0.37176E-02
   0.55436      0.36955E-02
   0.56862      0.35975E-02
   0.58283      0.33907E-02
   0.59701      0.29526E-02
   0.61116      0.25259E-02
   0.62528      0.22321E-02
   0.63938      0.20733E-02
   0.65347      0.20093E-02
   0.66757      0.20064E-02
   0.68169      0.20434E-02
   0.69587      0.21127E-02
   0.71015      0.22031E-02
   0.72456      0.23140E-02
   0.73911      0.24391E-02
   0.75381      0.25786E-02
   0.76867      0.27291E-02
   0.78368      0.28905E-02
   0.79880      0.30585E-02
   0.81397      0.32330E-02
   0.82914      0.34108E-02
   0.84428      0.35911E-02
   0.85934      0.37720E-02
   0.87432      0.39546E-02
   0.88918      0.41401E-02
   0.90387      0.43300E-02
   0.91823      0.45308E-02
