  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -20.000  -1.1136   0.14806   0.14562   0.0237   1.0000   0.0133
 -19.950  -1.1169   0.14652   0.14407   0.0228   1.0000   0.0133
 -19.900  -1.1202   0.14499   0.14251   0.0219   1.0000   0.0133
 -19.850  -1.1239   0.14335   0.14085   0.0209   1.0000   0.0133
 -19.800  -1.1284   0.14158   0.13905   0.0199   1.0000   0.0133
 -19.750  -1.1315   0.14009   0.13754   0.0191   1.0000   0.0133
 -19.700  -1.1348   0.13860   0.13603   0.0182   1.0000   0.0133
 -19.650  -1.1382   0.13708   0.13450   0.0174   1.0000   0.0134
 -19.600  -1.1421   0.13546   0.13285   0.0165   1.0000   0.0134
 -19.550  -1.1462   0.13381   0.13118   0.0155   1.0000   0.0134
 -19.500  -1.1495   0.13236   0.12971   0.0147   1.0000   0.0134
 -19.450  -1.1527   0.13090   0.12824   0.0139   1.0000   0.0134
 -19.400  -1.1564   0.12939   0.12671   0.0131   1.0000   0.0134
 -19.350  -1.1605   0.12777   0.12506   0.0122   1.0000   0.0134
 -19.300  -1.1644   0.12623   0.12350   0.0114   1.0000   0.0134
 -19.250  -1.1678   0.12479   0.12203   0.0106   1.0000   0.0134
 -19.200  -1.1713   0.12331   0.12054   0.0098   1.0000   0.0134
 -19.150  -1.1752   0.12175   0.11896   0.0090   1.0000   0.0134
 -19.100  -1.1794   0.12015   0.11733   0.0081   1.0000   0.0135
 -19.050  -1.1828   0.11873   0.11589   0.0073   1.0000   0.0135
 -19.000  -1.1864   0.11727   0.11441   0.0066   1.0000   0.0135
 -18.950  -1.1904   0.11571   0.11283   0.0057   1.0000   0.0135
 -18.900  -1.1947   0.11413   0.11122   0.0049   1.0000   0.0135
 -18.850  -1.1981   0.11272   0.10979   0.0042   1.0000   0.0135
 -18.800  -1.2019   0.11125   0.10830   0.0034   1.0000   0.0135
 -18.750  -1.2060   0.10971   0.10674   0.0026   1.0000   0.0135
 -18.700  -1.2102   0.10817   0.10518   0.0018   1.0000   0.0135
 -18.650  -1.2139   0.10675   0.10373   0.0011   1.0000   0.0135
 -18.600  -1.2179   0.10528   0.10224   0.0003   1.0000   0.0135
 -18.550  -1.2222   0.10372   0.10065  -0.0005   1.0000   0.0135
 -18.500  -1.2259   0.10229   0.09921  -0.0012   1.0000   0.0135
 -18.450  -1.2298   0.10084   0.09773  -0.0020   1.0000   0.0135
 -18.400  -1.2341   0.09931   0.09618  -0.0028   1.0000   0.0135
 -18.350  -1.2380   0.09784   0.09469  -0.0035   1.0000   0.0135
 -18.300  -1.2419   0.09642   0.09324  -0.0042   1.0000   0.0135
 -18.250  -1.2460   0.09494   0.09174  -0.0050   1.0000   0.0136
 -18.200  -1.2500   0.09349   0.09026  -0.0057   1.0000   0.0136
 -18.150  -1.2538   0.09207   0.08882  -0.0065   1.0000   0.0136
 -18.100  -1.2579   0.09062   0.08735  -0.0072   1.0000   0.0136
 -18.050  -1.2620   0.08919   0.08589  -0.0079   1.0000   0.0136
 -18.000  -1.2657   0.08781   0.08449  -0.0086   1.0000   0.0136
 -17.950  -1.2698   0.08638   0.08303  -0.0093   1.0000   0.0136
 -17.900  -1.2738   0.08498   0.08161  -0.0100   1.0000   0.0136
 -17.850  -1.2773   0.08363   0.08024  -0.0107   1.0000   0.0136
 -17.800  -1.2813   0.08222   0.07880  -0.0115   1.0000   0.0136
 -17.750  -1.2847   0.08092   0.07747  -0.0121   1.0000   0.0136
 -17.700  -1.2882   0.07959   0.07612  -0.0128   1.0000   0.0136
